"";"a";"b"
"569";"ROMANNA_REMOR";"167707"
"570";"ROMARIO";"160597"
"571";"ROMERO_RODRIGUES";"160629"
"572";"RONALDO_BENEDET";"160515"
"573";"RONALDO_CAIADO";"74813"
"574";"RONALDO_FONSECA";"160637"
"575";"RONALDO_NOGUEIRA";"163321"
"576";"RONALDO_ZULKE";"160594"
"577";"ROSANE_FERREIRA";"160614"
"578";"ROSE_DE_FREITAS";"73507"
"579";"ROSINHA_DA_ADEFAL";"146949"
"580";"ROSY_DE_SOUSA";"179379"
"581";"RUBENS_BUENO";"73466"
"582";"RUBENS_OTONI";"74371"
"583";"RUI_COSTA";"104254"
"584";"RUI_PALMEIRA";"76420"
"585";"RUY_CARNEIRO";"160635"
"586";"SABINO_CASTELO_BRANCO";"141522"
"587";"SAGUAS_MORAES";"160630"
"588";"SALVADOR_ZIMBALDI";"73559"
"589";"SANDES_JUNIOR";"74372"
"590";"SANDRA_ROSADO";"74039"
"591";"SANDRO_ALEX";"160621"
"592";"SANDRO_MABEL";"73676"
"593";"SARAIVA_FELIPE";"74762"
"594";"SARNEY_FILHO";"74210"
"595";"SEBASTIAO_BALA_ROCHA";"141539"
"596";"SERGIO_BARRADAS_CARNEIRO";"74533"
"597";"SERGIO_BRITO";"73808"
"598";"SERGIO_GUERRA";"74435"
"599";"SERGIO_MORAES";"141542"
"600";"SERGIO_ZVEITER";"160612"
"601";"SEVERINO_NINHO";"167614"
"602";"SIBA_MACHADO";"160613"
"603";"SILAS_BRASILEIRO";"74765"
"604";"SILAS_CAMARA";"74356"
"605";"SILVIO_COSTA";"4930"
"606";"SILVIO_TORRES";"73560"
"607";"SIMAO_SESSIM";"73424"
"608";"SIMPLICIO_ARAUJO";"168175"
"609";"SOLANGE_ALMEIDA";"141547"
"610";"STEFANO_AGUIAR";"92776"
"611";"STEPAN_NERCESSIAN";"160627"
"612";"SUBTENENTE_GONZAGA";"177282"
"613";"SUELI_VIDIGAL";"141548"
"614";"TAKAYAMA";"74385"
"615";"TAUMATURGO_LIMA";"160679"
"616";"TELMA_PINHEIRO";"169711"
